year,electorate,party,ordinary_special,before_onday,local_overseas,votes
2014,Botany,NZ Independent Coalition,special,normal,local,0
2014,Botany,NZ Independent Coalition,special,advanced,overseas,0
2014,Botany,The Civilian Party,ordinary,normal,local,7
2014,Botany,The Civilian Party,ordinary,advanced,local,0
2014,Botany,The Civilian Party,special,advanced,local,0
2014,Botany,The Civilian Party,special,normal,local,1
2014,Botany,The Civilian Party,special,advanced,overseas,0
2014,Botany,United Future,ordinary,normal,local,30
2014,Botany,United Future,ordinary,advanced,local,11
2014,Botany,United Future,special,advanced,local,1
2014,Botany,United Future,special,normal,local,7
2014,Botany,United Future,special,advanced,overseas,0
2014,Christchurch Central,ACT,ordinary,normal,local,104
2014,Christchurch Central,ACT,ordinary,advanced,local,40
2014,Christchurch Central,ACT,special,advanced,local,8
2014,Christchurch Central,ACT,special,normal,local,9
2014,Christchurch Central,ACT,special,advanced,overseas,6
2014,Christchurch Central,Aotearoa Legalise Cannabis Party,ordinary,normal,local,101
2014,Christchurch Central,Aotearoa Legalise Cannabis Party,ordinary,advanced,local,19
2014,Christchurch Central,Aotearoa Legalise Cannabis Party,special,advanced,local,4
2014,Christchurch Central,Aotearoa Legalise Cannabis Party,special,normal,local,40
2014,Christchurch Central,Aotearoa Legalise Cannabis Party,special,advanced,overseas,1
2014,Christchurch Central,Ban1080,ordinary,normal,local,17
2014,Christchurch Central,Ban1080,ordinary,advanced,local,2
2014,Christchurch Central,Ban1080,special,advanced,local,2
2014,Christchurch Central,Ban1080,special,normal,local,6
2014,Christchurch Central,Ban1080,special,advanced,overseas,0
2014,Christchurch Central,Conservative,ordinary,normal,local,649
2014,Christchurch Central,Conservative,ordinary,advanced,local,269
2014,Christchurch Central,Conservative,special,advanced,local,25
2014,Christchurch Central,Conservative,special,normal,local,109
2014,Christchurch Central,Conservative,special,advanced,overseas,13
2014,Christchurch Central,Democrats for Social Credit,ordinary,normal,local,14
2014,Christchurch Central,Democrats for Social Credit,ordinary,advanced,local,6
2014,Christchurch Central,Democrats for Social Credit,special,advanced,local,5
2014,Christchurch Central,Democrats for Social Credit,special,normal,local,3
2014,Christchurch Central,Democrats for Social Credit,special,advanced,overseas,2
2014,Christchurch Central,Focus NZ,ordinary,normal,local,1
2014,Christchurch Central,Focus NZ,ordinary,advanced,local,0
2014,Christchurch Central,Focus NZ,special,advanced,local,0
2014,Christchurch Central,Focus NZ,special,normal,local,0
2014,Christchurch Central,Focus NZ,special,advanced,overseas,0
2014,Christchurch Central,Green Party,ordinary,normal,local,3142
2014,Christchurch Central,Green Party,ordinary,advanced,local,1291
2014,Christchurch Central,Green Party,special,advanced,local,161
2014,Christchurch Central,Green Party,special,normal,local,606
2014,Christchurch Central,Green Party,special,advanced,overseas,219
2014,Christchurch Central,Internet MANA,ordinary,normal,local,171
2014,Christchurch Central,Internet MANA,ordinary,advanced,local,79
2014,Christchurch Central,Internet MANA,special,advanced,local,27
2014,Christchurch Central,Internet MANA,special,normal,local,61
2014,Christchurch Central,Internet MANA,special,advanced,overseas,15
2014,Christchurch Central,Labour Party,ordinary,normal,local,5370
2014,Christchurch Central,Labour Party,ordinary,advanced,local,2199
2014,Christchurch Central,Labour Party,special,advanced,local,300
2014,Christchurch Central,Labour Party,special,normal,local,1009
2014,Christchurch Central,Labour Party,special,advanced,overseas,117
2014,Christchurch Central,Maori Party,ordinary,normal,local,88
2014,Christchurch Central,Maori Party,ordinary,advanced,local,36
2014,Christchurch Central,Maori Party,special,advanced,local,2
2014,Christchurch Central,Maori Party,special,normal,local,29
2014,Christchurch Central,Maori Party,special,advanced,overseas,2
2014,Christchurch Central,National Party,ordinary,normal,local,9293
2014,Christchurch Central,National Party,ordinary,advanced,local,3801
2014,Christchurch Central,National Party,special,advanced,local,407
2014,Christchurch Central,National Party,special,normal,local,1568
2014,Christchurch Central,National Party,special,advanced,overseas,232
2014,Christchurch Central,NZ First,ordinary,normal,local,1489
2014,Christchurch Central,NZ First,ordinary,advanced,local,634
2014,Christchurch Central,NZ First,special,advanced,local,70
2014,Christchurch Central,NZ First,special,normal,local,260
2014,Christchurch Central,NZ First,special,advanced,overseas,9
2014,Christchurch Central,NZ Independent Coalition,ordinary,normal,local,0
2014,Christchurch Central,NZ Independent Coalition,ordinary,advanced,local,3
2014,Christchurch Central,NZ Independent Coalition,special,advanced,local,0
2014,Christchurch Central,NZ Independent Coalition,special,normal,local,0
2014,Christchurch Central,NZ Independent Coalition,special,advanced,overseas,0
2014,Christchurch Central,The Civilian Party,ordinary,normal,local,25
